subject,list,position,trial_type,item,item_number,session,distractor,category,response,response_time
201,1,1,study,MASCARA,647,1,0,obj,1,1.38
201,1,2,study,GOLF CLUB,607,1,0,obj,1,1.161
201,1,3,study,KEYCHAIN,627,1,0,obj,3,1.125
201,1,4,study,LOS ANGELES,371,1,0,loc,2,1.238
201,1,5,study,GETTYSBURG,326,1,0,loc,3,1.228
201,1,6,study,LIBRARY OF CONGRESS,365,1,0,loc,2,1.663
201,1,7,study,KATE WINSLET,148,1,0,cel,1,1.028
201,1,8,study,KEVIN SPACEY,157,1,0,cel,2,1.12
201,1,9,study,WOLF BLITZER,255,1,0,cel,3,1.344
201,1,10,study,DANE COOK,63,1,0,cel,1,1.07
201,1,11,study,VEST,756,1,0,obj,2,1.044
201,1,12,study,WINDOW,764,1,0,obj,1,1.267
201,1,13,study,TOASTER,741,1,0,obj,2,1.215
201,1,14,study,RECORD,691,1,0,obj,1,1.092
201,1,15,study,BARCODE SCANNER,526,1,0,obj,3,1.765
201,1,16,study,VIN DIESEL,250,1,0,cel,4,1.588
201,1,17,study,TINA FEY,241,1,0,cel,1,0.959
201,1,18,study,DANIEL TOSH,65,1,0,cel,1,1.141
201,1,19,study,QUEEN ELIZABETH,207,1,0,cel,3,1.567
201,1,20,study,WAILING WALL,493,1,0,loc,2,1.659
201,1,21,study,GRAND CENTRAL STATION,334,1,0,loc,1,1.698
201,1,22,study,CAPILANO BRIDGE,288,1,0,loc,3,1.92
201,1,23,study,DEATH VALLEY,308,1,0,loc,3,1.394
201,1,24,study,OXFORD,412,1,0,loc,2,1.346
201,1,1,recall,OXFORD,412,1,0,loc,2,1.346
201,1,2,recall,DEATH VALLEY,308,1,0,loc,3,1.394
201,1,3,recall,QUEEN ELIZABETH,207,1,0,cel,3,1.567
201,1,4,recall,TINA FEY,241,1,0,cel,1,0.959
201,1,5,recall,VIN DIESEL,250,1,0,cel,4,1.588
201,1,6,recall,DANIEL TOSH,65,1,0,cel,1,1.141
201,1,7,recall,WOLF BLITZER,255,1,0,cel,3,1.344
201,1,8,recall,WAILING WALL,493,1,0,loc,2,1.659
201,1,9,recall,GETTYSBURG,326,1,0,loc,3,1.228
201,1,10,recall,DANE COOK,63,1,0,cel,1,1.07
201,1,11,recall,KATE WINSLET,148,1,0,cel,1,1.028
201,1,12,recall,GRAND CENTRAL STATION,334,1,0,loc,1,1.698
201,2,1,study,ATOMIUM,268,1,7.5,loc,3,1.999
201,2,2,study,SOHO,457,1,7.5,loc,2,1.339
201,2,3,study,ALCATRAZ,260,1,7.5,loc,1,1.697
201,2,4,study,PAPER BAG,665,1,7.5,obj,3,1.314
201,2,5,study,SPEAKER,719,1,7.5,obj,3,1.248
201,2,6,study,WHISTLE,763,1,7.5,obj,2,1.561
201,2,7,study,JON STEWART,140,1,7.5,cel,1,1.274
201,2,8,study,CLAIRE DANES,53,1,7.5,cel,1,1.314
201,2,9,study,CHER,47,1,7.5,cel,2,1.382
201,2,10,study,MISSISSIPPI RIVER,387,1,7.5,loc,3,1.591
201,2,11,study,MONT BLANC,388,1,7.5,loc,1,1.315
201,2,12,study,QUEBEC,430,1,7.5,loc,1,0.897
201,2,13,study,SERENGETI PLAIN,447,1,7.5,loc,NaN,2
201,2,14,study,ROCK OF GIBRALTAR,435,1,7.5,loc,3,1.375
201,2,15,study,AL PACINO,3,1,7.5,cel,1,1.221
201,2,16,study,TIGER WOODS,240,1,7.5,cel,4,1.485
201,2,17,study,CONAN O'BRIEN,57,1,7.5,cel,1,1.188
201,2,18,study,ELLEN PAGE,83,1,7.5,cel,1,0.901
201,2,19,study,MATT DAMON,176,1,7.5,cel,1,0.874
201,2,20,study,HEADPHONES,614,1,7.5,obj,1,1.225
201,2,21,study,MICROCHIP,651,1,7.5,obj,2,1.458
201,2,22,study,LAWN MOWER,635,1,7.5,obj,3,1.411
201,2,23,study,GAS MASK,600,1,7.5,obj,3,1.575
201,2,24,study,BLENDER,536,1,7.5,obj,2,1.029
201,2,1,recall,BLENDER,536,1,7.5,obj,2,1.029
201,2,2,recall,ELLEN PAGE,83,1,7.5,cel,1,0.901
201,2,3,recall,MICROCHIP,651,1,7.5,obj,2,1.458
201,2,4,recall,CHER,47,1,7.5,cel,2,1.382
201,2,5,recall,LAWN MOWER,635,1,7.5,obj,3,1.411
201,2,6,recall,GAS MASK,600,1,7.5,obj,3,1.575
201,2,7,recall,MATT DAMON,176,1,7.5,cel,1,0.874
201,2,8,recall,AL PACINO,3,1,7.5,cel,1,1.221
